76,,Steve Darcis,BEL,666,-,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
77,,Blaz Kavcic,SLO,651,+2,-,Lost in Roland Garros R128Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
78,,Marsel Ilhan,TUR,647,+3,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
79,,Federico Delbonis,ARG,627,+3,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
80,,Malek Jaziri,TUN,620,+5,-,Lost in Roland Garros R128Lost in Manchester R32,-,-,,Thu Jun  4 18:29:22 2015
81,,Denis Istomin,UZB,620,-4,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
82,,Dusan Lajovic,SRB,615,-15,-,Lost in Roland Garros R64Lost in Prostejov QF,-,-,,Thu Jun  4 18:29:22 2015
83,,Robin Haase,NED,611,-3,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
84,,Dudi Sela,ISR,607,+7,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
85,,James Duckworth,AUS,601,-2,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
86,,Alexander Zverev,GER,601,+3,-,-,-,-,,Thu Jun  4 18:29:22 2015
87,,Ernests Gulbis,LAT,600,-58,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
88,,Damir Dzumhur,BIH,583,-,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
89,,Go Soeda,JPN,575,+3,-,Lost in Roland Garros R128Lost in Gimcheon R16,-,-,,Thu Jun  4 18:29:22 2015
90,,Lucas Pouille,FRA,572,-,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
91,,Jarkko Nieminen,FIN,568,-4,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
92,,Lukas Lacko,SVK,567,+2,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
93,,Ricardas Berankis,LTU,567,-,-,Lost in Roland Garros R128Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
94,,Paolo Lorenzi,ITA,566,-8,Mestre R16,Lost in Roland Garros R128,574,639,,Thu Jun  4 18:29:22 2015
95,,Nicolas Mahut,FRA,549,+21,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
96,,Ruben Bemelmans,BEL,541,-1,-,Lost in Roland Garros R128Lost in Manchester R32,-,-,,Thu Jun  4 18:29:22 2015
97,,Andrey Kuznetsov,RUS,539,+23,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
98,,Blaz Rola,SLO,535,-1,Furth QF,-,551,608,,Thu Jun  4 18:29:22 2015
99,,Dustin Brown,GER,507,+2,-,-,-,-,,Thu Jun  4 18:29:22 2015
