91,,Blaz Kavcic,SLO,571,-14,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
92,,Ricardas Berankis,LTU,567,+1,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
93,,Jarkko Nieminen,FIN,564,-2,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
94,,Lukas Lacko,SVK,557,-2,-,-,-,-,,Thu Jun 11 00:00:09 2015
95,,Blaz Rola,SLO,551,+1,-,Lost in Moscow R32,-,-,,Thu Jun 11 00:00:09 2015
96,,Ruben Bemelmans,BEL,541,+2,-,Lost in Qualification 's-Hertogenbosch R2,-,-,,Thu Jun 11 00:00:09 2015
97,,Lucas Pouille,FRA,539,-3,-,Lost in Qualification 's-Hertogenbosch R1,-,-,,Thu Jun 11 00:00:09 2015
98,,Andrey Kuznetsov,RUS,527,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
99,,Kimmer Coppejans,BEL,518,+4,Prague QF,-,534,591,,Thu Jun 11 00:00:09 2015
100,,Tatsuma Ito,JPN,510,+6,-,Qualification 's-Hertogenbosch WLost in 's-Hertogenbosch R16,-,-,,Thu Jun 11 00:00:09 2015
101,,Kyle Edmund,GBR,509,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
102,,Luca Vanni,ITA,505,-2,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
103,,Jurgen Melzer,AUT,500,+6,'s-Hertogenbosch R16,-,525,730,,Thu Jun 11 00:00:09 2015
104,,Guido Pella,ARG,499,+3,Caltanissetta R16,-,514,614,,Thu Jun 11 00:00:09 2015
105,,Jan Lennard Struff,GER,498,-,-,Lost in Stuttgart R32,-,-,,Thu Jun 11 00:00:09 2015
106,,Matthias Bachinger,GER,486,+10,Stuttgart R16,Lost in Qualification Stuttgart R3,511,716,,Thu Jun 11 00:00:09 2015
107,,James Ward,GBR,483,+1,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
108,,Maximo Gonzalez,ARG,483,-13,Caltanissetta R16,-,498,598,,Thu Jun 11 00:00:09 2015
109,,Illya Marchenko,UKR,482,+10,'s-Hertogenbosch R16,Qualification 's-Hertogenbosch W,507,712,,Thu Jun 11 00:00:09 2015
110,,Carlos Berlocq,ARG,480,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
111,,Alejandro Gonzalez,COL,479,+9,Caltanissetta QF,-,499,579,,Thu Jun 11 00:00:09 2015
112,,Adrian Menendez Maceiras,ESP,477,-1,-,Lost in Qualification 's-Hertogenbosch R1,-,-,,Thu Jun 11 00:00:09 2015
113,,Dustin Brown,GER,474,-9,-,Qualification Stuttgart WLost in Stuttgart R32,-,-,,Thu Jun 11 00:00:09 2015
114,,Austin Krajicek,USA,468,-,-,Lost in Qualification 's-Hertogenbosch R1,-,-,,Thu Jun 11 00:00:09 2015
115,,Ivan Dodig,CRO,466,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
116,,Lleyton Hewitt,AUS,465,-4,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
117,,John Millman,AUS,463,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
118,,Filip Krajinovic,SRB,457,-1,-,Lost in Qualification Stuttgart R3,-,-,,Thu Jun 11 00:00:09 2015
119,,Taro Daniel,JPN,445,+6,Prague QF,-,461,518,,Thu Jun 11 00:00:09 2015
120,,Thiemo de Bakker,NED,443,+1,-,Lost in Qualification 's-Hertogenbosch R2,-,-,,Thu Jun 11 00:00:09 2015
121,,Aleksandr Nedovyesov,KAZ,441,+2,Prague QF,-,457,514,,Thu Jun 11 00:00:09 2015
122,,Paul Henri Mathieu,FRA,429,+2,-,Lost in Qualification 's-Hertogenbosch R2,-,-,,Thu Jun 11 00:00:09 2015
123,,Ryan Harrison,USA,428,+7,Surbiton QF,-,442,493,,Thu Jun 11 00:00:09 2015
124,,Radu Albot,MDA,423,+5,Moscow QF,-,439,496,,Thu Jun 11 00:00:09 2015
125,,Marco Cecchinato,ITA,423,+6,Caltanissetta QF,-,443,523,,Thu Jun 11 00:00:09 2015
126,,Farrukh Dustov,UZB,420,-,-,Lost in Qualification Stuttgart R1,-,-,,Thu Jun 11 00:00:09 2015
