Data,Round,Civility,Player1 (Player1 / Player2),Player2 (Player3 / Player4),Sets,Tournment,Clay,1st SERVE % P1,1st SERVE % P2,1st SERVE POINTS WON P1,1st SERVE POINTS WON P2,2nd SERVE POINTS WON P1,2nd SERVE POINTS WON P2,BREAK POINTS WON P1,BREAK POINTS WON P2,TOTAL RETURN POINTS WON P1,TOTAL RETURN POINTS WON P2,TOTAL POINTS WON P1,TOTAL POINTS WON P2,DOUBLE FAULTS P1,DOUBLE FAULTS P2,ACES P1,ACES P2,Country P1,Birthday P1,Height P1,Weight P1,Profi since P1,Play P1,Ranking's position P1,Points P1,Prize money P1,Country P2,Birthday P2,Height P2,Weight P2,Profi since P2,Play P2,Ranking's position P2,Points P2,Prize money P2,Country P3,Birthday P3,Height P3,Weight P3,Profi since P3,Play P3,Ranking's position P3,Points P3,Prize money P3,Country P4,Birthday P4,Height P4,Weight P4,Profi since P4,Play P4,Ranking's position P4,Points P4,Prize money P4
06.06.15,fin,male,Ivan Dodig/Marcelo Melo,Bob Bryan/Mike Bryan,"6-75, 7-65, 7-5",Paris,Clay,87/124 (70%),73/118 (62%),66/87 (76%),55/73 (75%),19/37 (51%),28/45 (62%),2/9 (22%),1/3 (33%),35/118 (30%),39/124 (31%),120/242 (50%),122/242 (50%),3,2,12,2,Croatia,"02.01.85, 30 years",-,-,-,-,-,-,-,Brazil,"23.09.83, 31 years",203 cm,87 kg,-,Right-handed,-,-,-,USA,"29.04.78, 37 years",193 cm,91 kg,-,Left-handed,-,-,-,USA,"29.04.78, 37 years",191 cm,87 kg,-,Right-handed,-,-,-
27.05.15,1st round,male,Vasek Pospisil/Jack Sock,Victor Estrella/Joao Souza,"7-63, 4-6, 7-64",Paris,Clay,71/112 (63%),74/102 (73%),55/71 (77%),57/74 (77%),23/41 (56%),16/28 (57%),1/1 (100%),2/6 (33%),29/102 (28%),34/112 (30%),107/214 (50%),107/214 (50%),7,2,7,6,Canada,"23.06.90, 24 years",193 cm,80 kg,-,Right-handed,-,-,-,USA,"24.09.92, 22 years",-,-,-,-,-,-,-,Dominican Republic,"02.08.80, 34 years",172 cm,76 kg,-,Right-handed,-,-,-,Brazil,"27.05.88, 27 years",-,-,-,-,-,-,-
31.05.15,3rd round,male,Jean-Julien Rojer/Horia Tecau,Rohan Bopanna/Florin Mergea,"6-3, 6-77, 6-3",Paris,Clay,66/105 (63%),60/88 (68%),49/66 (74%),44/60 (73%),22/39 (56%),12/28 (43%),3/10 (30%),1/6 (17%),32/88 (36%),34/105 (32%),103/193 (53%),90/193 (47%),5,2,3,5,Holland,"25.08.81, 33 years",-,-,-,-,-,-,-,Romania,"19.01.85, 30 years",187 cm,86 kg,2003,Right-handed,-,-,-,India,"04.03.80, 35 years",190 cm,82 kg,2002,Right-handed,-,-,-,Romania,"26.01.85, 30 years",180 cm,78 kg,2003,Right-handed,-,-,-
26.05.15,1st round,male,Andrea Arnaboldi,James Duckworth,"4-6, 6-75, 7-64, 7-62, 6-0",Paris,Clay,103/186 (55%),101/187 (54%),81/103 (79%),77/101 (76%),49/83 (59%),43/86 (50%),4/17 (24%),2/16 (13%),67/187 (36%),56/186 (30%),197/373 (53%),176/373 (47%),5,9,13,16,Italy,"27.12.87, 27 years",181 cm,71 kg,-,Left-handed,187,261,315.604 $,Australia,"21.01.92, 23 years",-,-,-,-,83,626,505.940 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25.05.15,1st round,male,Borna Coric,Sam Querrey,"7-68, 6-3, 0-6, 6-3",Paris,Clay,78/124 (63%),65/108 (60%),49/78 (63%),49/65 (75%),30/46 (65%),24/43 (56%),3/5 (60%),3/8 (38%),35/108 (32%),45/124 (36%),114/232 (49%),118/232 (51%),2,3,6,16,Croatia,"14.11.96, 18 years",-,-,-,-,46,970,251.908 $,USA,"07.10.87, 27 years",198 cm,90 kg,2006,Right-handed,38,1115,5.745.298 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27.05.15,1st round,male,Rohan Bopanna/Florin Mergea,Filip Krajinovic/Viktor Troicki,"5-7, 6-3, 6-4",Paris,Clay,68/108 (63%),64/99 (65%),46/68 (68%),46/64 (72%),24/40 (60%),16/35 (46%),3/11 (27%),2/8 (25%),37/99 (37%),38/108 (35%),107/207 (52%),100/207 (48%),2,2,10,8,India,"04.03.80, 35 years",190 cm,82 kg,2002,Right-handed,-,-,-,Romania,"26.01.85, 30 years",180 cm,78 kg,2003,Right-handed,-,-,-,Serbia,"27.02.92, 23 years",-,-,-,-,-,-,-,Serbia,"10.02.86, 29 years",193 cm,85 kg,-,Right-handed,-,-,-
20.05.15,q 2,male,Andre Ghem,Albert Montanes,"6-1, 7-5",Paris,Clay,31/52 (60%),45/68 (66%),23/31 (74%),19/45 (42%),12/21 (57%),14/23 (61%),5/11 (45%),2/2 (100%),35/68 (51%),17/52 (33%),70/120 (58%),50/120 (42%),1,1,5,2,Brazil,"29.05.82, 33 years",193 cm,86 kg,2003,Right-handed,140,379,350.639 $,Spain,"26.11.80, 34 years",175 cm,70 kg,1999,Right-handed,155,335,5.489.542 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28.05.15,3rd round,male,Kei Nishikori,Benjamin Becker,Benjamin Becker - walk over,Paris,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"29.12.89, 25 years",175 cm,65 kg,-,Right-handed,5,5220,8.023.569 $,Germany,"16.06.81, 33 years",177 cm,79 kg,2005,Right-handed,48,965,3.436.215 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27.05.15,2nd round,male,Tomas Berdych,Radek Stepanek,"6-3, 6-77, 6-3, 6-3",Paris,Clay,79/142 (56%),93/137 (68%),58/79 (73%),59/93 (63%),36/63 (57%),24/44 (55%),5/14 (36%),1/9 (11%),54/137 (39%),48/142 (34%),148/279 (53%),131/279 (47%),0,6,13,6,Czech Republic,"17.09.85, 29 years",195 cm,90 kg,2002,Right-handed,4,5230,20.049.468 $,Czech Republic,"27.11.78, 36 years",185 cm,75 kg,1996,Right-handed,129,422,10.317.509 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26.05.15,1st round,male,Jack Sock,Grigor Dimitrov,"7-67, 6-2, 6-3",Paris,Clay,58/104 (56%),54/84 (64%),47/58 (81%),37/54 (69%),28/46 (61%),19/30 (63%),3/8 (38%),0/6 (0%),28/84 (33%),29/104 (28%),103/188 (55%),85/188 (45%),5,4,3,4,USA,"24.09.92, 22 years",-,-,-,-,37,1125,1.608.211 $,Bulgaria,"16.05.91, 24 years",-,-,-,-,11,2760,4.823.516 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
